seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669977633,1.0,3,100,0.5,0.0005017684277514651,0.000545826143358911,0.6654367221059588,0.6656570106839961,0.7105958806035907,0.7147813635862981,0.6419238618598095,0.6422675803806399,0.6251069872926467,0.6802264623689851,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999, 4199, 4399, 4599, 4799, 4999, 5199, 5399, 5599, 5799, 5999, 6199, 6399, 6599, 6799, 6999, 7199, 7399, 7599, 7799, 7999, 8199, 8399, 8599, 8799, 8999, 9199, 9399, 9599, 9799, 9999, 10199, 10399, 10599, 10799, 10999, 11199, 11399, 11599, 11799, 11999, 12199, 12399, 12599, 12799, 12999, 13199, 13399, 13599, 13799, 13999, 14199, 14399, 14599, 14799, 14999, 15199, 15399, 15599, 15799, 15999, 16199, 16399, 16599, 16799, 16999, 17199, 17399, 17599, 17799, 17999]"
1669977641,1.0,3,100,0.55,0.0005017684277514651,0.000545826143358911,0.6654367221059588,0.6656570106839961,0.7105958806035907,0.7147813635862981,0.6419238618598095,0.6422675803806399,0.6251069872926467,0.6802264623689851,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999, 4199, 4399, 4599, 4799, 4999, 5199, 5399, 5599, 5799, 5999, 6199, 6399, 6599, 6799, 6999, 7199, 7399, 7599, 7799, 7999, 8199, 8399, 8599, 8799, 8999, 9199, 9399, 9599, 9799, 9999, 10199, 10399, 10599, 10799, 10999, 11199, 11399, 11599, 11799, 11999, 12199, 12399, 12599, 12799, 12999, 13199, 13399, 13599, 13799, 13999, 14199, 14399, 14599, 14799, 14999, 15199, 15399, 15599, 15799, 15999, 16199, 16399, 16599, 16799, 16999, 17199, 17399, 17599, 17799, 17999]"
1669977649,1.0,3,250,0.45,0.0012146467427886067,0.0009301073294905192,0.6654367221059588,0.6656570106839961,0.7091640048463487,0.6991408745456548,0.6419238618598095,0.6422675803806399,0.6392648221104482,0.6741029537320511,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999, 4499, 4999, 5499, 5999, 6503, 7004, 7504, 8004, 8509, 9009, 9509, 10009, 10509, 11009, 11509, 12009, 12509, 13009, 13509, 14009, 14509, 15009, 15509, 16009, 16509, 17009, 17509, 18009]"
1669977657,1.0,3,250,0.5,0.0012146467427886067,0.0009301073294905192,0.6654367221059588,0.6656570106839961,0.7091640048463487,0.6991408745456548,0.6419238618598095,0.6422675803806399,0.6392648221104482,0.6741029537320511,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999, 4499, 4999, 5499, 5999, 6503, 7004, 7504, 8004, 8509, 9009, 9509, 10009, 10509, 11009, 11509, 12009, 12509, 13009, 13509, 14009, 14509, 15009, 15509, 16009, 16509, 17009, 17509, 18009]"
1669977665,1.0,3,250,0.55,0.0012161765245805342,0.0009484647109936227,0.6654367221059588,0.6656570106839961,0.7092190769908581,0.6998017402797665,0.6419238618598095,0.6422675803806399,0.641242589407022,0.6748618102239567,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999, 4499, 4999, 5499, 5999, 6503, 7004, 7504, 8004, 8508, 9008, 9508, 10008, 10508, 11008, 11508, 12008, 12508, 13008, 13508, 14008, 14508, 15008, 15508, 16008, 16508, 17008, 17508, 18008]"
1669977673,1.0,3,500,0.45,0.0022320416215830937,0.0016035712665945338,0.6654367221059588,0.6656570106839961,0.7033814296728714,0.6929177222161031,0.6419238618598095,0.6422675803806399,0.6354149150185125,0.6723444031979449,"[999, 1999, 2999, 4033, 5100, 6192, 7192, 8192, 9192, 10246, 11269, 12269, 13269, 14269, 15269, 16269, 17269]"
1669977695,1.0,3,500,0.5,0.002225562545758472,0.0016262480319807154,0.6654367221059588,0.6656570106839961,0.7032712853838529,0.6933032272276682,0.6419238618598095,0.6422675803806399,0.6354924640783383,0.6727268125668533,"[999, 1999, 2999, 4033, 5100, 6191, 7191, 8191, 9191, 10246, 11268, 12268, 13268, 14268, 15268, 16268, 17268]"
1669977716,1.0,3,500,0.55,0.002108039309272922,0.001838797713894089,0.6654367221059588,0.6656570106839961,0.7033814296728714,0.6987553695340897,0.6419238618598095,0.6422675803806399,0.6367262560635398,0.6767265786962369,"[999, 1999, 2999, 4033, 5033, 6033, 7033, 8033, 9033, 10057, 11057, 12088, 13088, 14088, 15100, 16100, 17100, 18100]"
1669977729,1.0,3,1000,0.45,0.004068454675625069,0.0030427359841392193,0.6654367221059588,0.6656570106839961,0.6979843595109594,0.6899988985571098,0.6419238618598095,0.6422675803806399,0.6210872972099101,0.6714632923854074,"[1999, 3999, 5999, 7999, 10260, 13290, 15892, 17892]"
1669977844,1.0,3,1000,0.5,0.004068454675625069,0.0030427359841392193,0.6654367221059588,0.6656570106839961,0.6979843595109594,0.6899988985571098,0.6419238618598095,0.6422675803806399,0.6210872972099101,0.6714632923854074,"[1999, 3999, 5999, 7999, 10260, 13290, 15892, 17892]"
1669977959,1.0,3,1000,0.55,0.004068454675625069,0.0030427359841392193,0.6654367221059588,0.6656570106839961,0.6979843595109594,0.6899988985571098,0.6419238618598095,0.6422675803806399,0.6210872972099101,0.6714632923854074,"[1999, 3999, 5999, 7999, 10260, 13290, 15892, 17892]"
